Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename: exest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"title:  Prisoners executed under civil authority in the United States, by year, region, and jurisdiction, 1977-2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source: BJS, National Prisoner Statistics data series (NPS-8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
author:  Tracy L. Snell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date of version:  12/10/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Prisoners executed under civil authority in the United States, by year, region, and jurisdiction, 1977-2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Region and jurisdiction,Total,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
    Florida,66,0,0,1,0,0,0,1,8,3,3,1,2,2,4,2,2,3,1,3,2,1,4,1,6,1,3,3,2,1,4,0,2
    Georgia,43,0,0,0,0,0,0,1,2,3,1,5,1,1,0,1,0,2,1,2,2,0,1,0,0,4,4,3,2,3,0,1,3
    Kentucky,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
    Louisiana,27,0,0,0,0,0,0,1,5,1,0,8,3,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
    Maryland,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0
    Mississippi,10,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2
    North Carolina,43,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,2,0,0,3,4,1,5,2,7,4,5,4,0,0
    Oklahoma,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,2,1,4,6,11,18,7,14,6,4,4,3,2
    South Carolina,40,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,6,2,7,4,1,0,3,0,4,3,1,1,3
    Tennessee,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
    Texas,423,0,0,0,0,0,1,0,3,6,10,6,3,4,4,5,12,17,14,19,3,37,20,35,40,17,33,24,23,19,24,26,18
    Virginia,102,0,0,0,0,0,1,0,1,2,1,1,1,1,3,2,4,5,2,5,8,9,13,14,8,2,4,2,5,0,4,0,4
    West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

  West,67,1,0,1,0,0,0,0,0,1,0,1,1,2,1,0,4,4,2,2,7,4,8,11,4,4,1,0,2,2,3,1,0
    Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Arizona,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,4,7,3,0,0,0,0,0,0,1,0
    California,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,1,1,1,0,0,2,1,0,0
    Colorado,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
    Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Idaho,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Montana,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
    Nevada,12,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,1,0,0
    New Mexico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
    Oregon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
    Utah,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
    Washington,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
    Wyoming,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
